ProductCategoryID,ProductSubCategoryID,SubCategoryName,SubCategory_Description
DGS01,DGS01-RR01,Rice & Rice Products,"All varieties of whole grain rice including basmati, sona masoori, ponni, and matta, plus rice-based products such as rice flour, rice flakes, pawa, and idly rice."
DGS01,DGS01-LD02,"Lentils, Dal & Pulses","Dried legumes and pulses including toor dal, moong dal, urid dal, chana dal, red lentils, brown lentils, chickpeas, kidney beans, black-eye beans, and other dried beans and peas."
DGS01,DGS01-SP03,Spices & Masalas,"Ground and blended spice powders and masala mixes including chilli powder, turmeric, coriander, cumin, garam masala, curry powder, tandoori masala, and brand-specific spice blends."
DGS01,DGS01-AF04,"Atta, Flour & Semolina","Milling products used for baking and cooking including wheat flour, chapatti flour, self-raising flour, corn flour, semolina, rava, bulgur wheat, couscous, and other grain flours."
DGS01,DGS01-WS05,Whole Spices & Herbs,"Unground whole spices and dried herbs including cardamom, cloves, cinnamon, bay leaves, mustard seeds, cumin seeds, dried oregano, thyme, rosemary, parsley, lemongrass, and zaatar."
DGS01,DGS01-OG06,Cooking Oil & Ghee,"Culinary fats and oils used for frying, roasting, and cooking including sunflower oil, vegetable oil, coconut oil, mustard oil, sesame oil, olive oil, and clarified butter (ghee)."
DGS01,DGS01-ND07,"Nuts, Dry Fruits & Seeds","Packaged nuts, dried fruits, and seeds including almonds, cashews, pistachios, walnuts, peanuts, raisins, dates, figs, apricots, desiccated coconut, and mixed nuts."
DGS01,DGS01-SJ08,"Sugar, Jaggery & Sweeteners","Sweetening ingredients including white sugar, brown sugar, caster sugar, icing sugar, jaggery, palm sugar, sugarcane products, and artificial sweeteners used in cooking and baking."
DGS01,DGS01-SV09,"Salt, Vinegar & Baking Basics","Essential cooking and baking staples including table salt, rock salt, black salt, malt vinegar, white vinegar, baking powder, baking soda, yeast, food colouring, and essence extracts."
SNC02,SNC02-SN01,Snacks & Namkeen,"Traditional and contemporary savoury snacks including namkeen, bhujia, murukku, chakli, patra, dhokla, golcappa, popcorn, and other ready-to-eat Indian and ethnic snack foods."
SNC02,SNC02-BC02,Biscuits & Cookies,"Baked sweet and savoury biscuits, cookies, crackers, rusks, wafers, and similar dry baked snack products. Includes tea biscuits, digestives, Marie, and shortbread varieties."
SNC02,SNC02-CC03,Chocolates & Candy,"Chocolate bars, chocolate confectionery, boiled sweets, lollipops, toffees, chewing gum, mints, and other sugar-based candy products from mainstream and ethnic brands."
SNC02,SNC02-SM04,Sweets & Indian Mithai,"Traditional South Asian and Indian sweet confections including gulab jamun, rasgulla, rassomalai, jalebi, ladoo, barfi, chum chum, halwa, and other festive and everyday Indian sweets."
SNC02,SNC02-CS05,Crisps & Savoury Snacks,"Potato crisps, tortilla chips, flavoured corn snacks, and western-style savoury snack products including Doritos, Pringles, Walkers, and similar branded crisp and snack ranges."
BEV03,BEV03-TT01,Tea & Herbal Tea,"Loose leaf and bagged teas including black tea, green tea, masala chai, and herbal infusions such as camomile, peppermint, hibiscus, and other caffeine-free herbal tea blends."
BEV03,BEV03-CF02,Coffee & Instant Coffee,"Ground coffee, instant coffee granules, espresso, and coffee-based hot drink products. Includes filter coffee, chicory blends, and branded instant coffee varieties."
BEV03,BEV03-SD03,Soft Drinks & Fizzy Drinks,"Carbonated and non-carbonated cold drinks including cola, lemonade, energy drinks, sports drinks, flavoured sodas, and ethnic soft drink brands such as Thums Up, Limca, and Fanta."
BEV03,BEV03-FJ04,Fruit Juices & Nectars,"Packaged fruit juices, nectars, fruit drinks, and juice-based beverages including Rubicon, Tropical Sun, Alizas, mango nectar, amla juice, and similar fruit-based drink products."
BEV03,BEV03-MD05,Malt Drinks & Health Drinks,"Nutritional and malt-based drinks including Horlicks, Bournvita, Ovaltine, Supermalt, plant-based milks such as almond milk, oat milk, and other fortified health drink products."
BEV03,BEV03-SY06,"Syrups, Concentrates & Cordials","Drink syrups, squashes, cordials, and concentrates designed for dilution including Rooh Afza, rose syrup, faluda sherbet, lime cordial, fruit concentrates, and flavoured drink bases."
BEV03,BEV03-WT07,Water & Coconut Water,"Still and sparkling bottled water, coconut water, and flavoured water drinks. Includes mineral water, spring water, Volvic, and packaged coconut water products."
FRP04,FRP04-RV01,Root Vegetables & Onions,"Root and bulb vegetables including potatoes, sweet potatoes, onions, garlic, ginger, carrots, beetroot, radish, turnip, parsnip, and other underground vegetables sold fresh."
FRP04,FRP04-LG02,Leafy Greens & Herbs,"Fresh leafy vegetables and culinary herbs including spinach, coriander, curry leaves, mint, basil, fenugreek, watercress, spring onions, kale, cabbage, and other fresh green leaves."
FRP04,FRP04-GV03,"Gourds, Pods & Vegetables","Fresh above-ground vegetables including tomatoes, cucumbers, courgettes, peppers, green beans, peas, sweetcorn, okra, aubergine, butternut squash, and other pod and gourd vegetables."
FRP04,FRP04-EV04,Exotic & Specialty Vegetables,"Unusual, tropical, and culturally specific fresh produce including plantain, yucca, breadfruit, bitter gourd, drumstick, karela, chillies, fresh dates, nectarines, mangosteen, and other exotic items."
FMR05,FMR05-FM01,Frozen Meat & Poultry,"Frozen raw and processed meat and poultry products including chicken, beef, lamb, goat, mutton, minced meat, and other halal and non-halal frozen meat cuts and portions."
FMR05,FMR05-FS02,Frozen Fish & Seafood,"Frozen whole fish, fish fillets, prawns, shrimp, and other frozen seafood products. Includes both fresh-frozen and processed frozen fish and seafood varieties."
FMR05,FMR05-RC03,Ready-to-Cook & Marinated,"Convenience meal products requiring minimal preparation including marinated meats, ready-to-cook kits, curry express packs, biryani mixes, and partially prepared chilled or ambient meal bases."
CSP06,CSP06-PC01,Pickles & Chutneys,"Preserved vegetables and fruit condiments including mango pickle, lime pickle, garlic pickle, onion pickle, mixed pickle, chutney varieties, and other fermented or oil-preserved accompaniments."
CSP06,CSP06-SC02,Sauces & Cooking Sauces,"Bottled sauces used for cooking or as condiments including ketchup, curry sauces, pasta sauces, soy sauce, fish sauce, oyster sauce, hot sauce, and ready-made cooking sauce products."
CSP06,CSP06-CP03,Cooking Pastes & Purees,"Concentrated cooking ingredients in paste or puree form including garlic paste, ginger paste, tamarind paste, tomato puree, chilli paste, and other blended cooking base ingredients."
CSP06,CSP06-HJ04,"Honey, Jam & Spreads","Sweet spreads and preserves including honey, fruit jams, marmalades, lemon curd, nut butters, tahini, date syrup, and other bread spreads and sweet preserve products."
CSP06,CSP06-VC05,Vinegar & Cooking Essentials,"Cooking acids and essential flavouring liquids including malt vinegar, white vinegar, apple cider vinegar, rice vinegar, lemon juice, tamarind water, and other acidic cooking staples."
DEC07,DEC07-MP01,Milk Powder & Condensed Milk,"Shelf-stable dairy products including full cream milk powder, skimmed milk powder, sweetened condensed milk, evaporated milk, and other dehydrated or concentrated milk products."
DEC07,DEC07-CD02,Cheese & Dairy Products,"Fresh and processed dairy products including paneer, cheddar cheese, processed cheese slices, butter, cream, yoghurt, lassi, kulfi, and other chilled dairy food items."
DEC07,DEC07-EG03,Eggs,"Fresh hen eggs and other egg products sold as chilled produce. Includes free-range, barn, and standard eggs in various pack sizes for retail and catering supply."
HPC08,HPC08-PT01,Personal Care & Toiletries,"Daily personal hygiene and grooming products including bar soap, body wash, shower gel, toothpaste, toothbrush, deodorant, antiperspirant, shaving products, perfume, and nail products."
HPC08,HPC08-HC02,Hair Care Products,"Products for hair cleansing, conditioning, and styling including shampoo, conditioner, hair oil, hair serum, hair cream, hair dye, hair masks, and treatment products for all hair types."
HPC08,HPC08-SK03,Skin Care & Cosmetics,"Facial and body skin care and makeup products including moisturisers, face creams, lotions, sunscreen, foundation, lipstick, eye products, and other cosmetic and beauty items."
HPC08,HPC08-CL04,Household Cleaning,"Products for cleaning the home and kitchen including washing-up liquid, bleach, surface sprays, floor cleaners, sponges, scrubbers, dishwasher products, incense sticks, and general household tools."
HPC08,HPC08-LP05,Laundry Products,"Clothes washing and fabric care products including laundry detergent, washing powder, fabric softener, stain remover, and other products used for machine or hand washing garments."
HPC08,HPC08-DP06,Disposables & Packaging,"Single-use and reusable packaging products for catering and food service including foil containers, cling film, food bags, cling wrap, baking paper, paper plates, cups, and cutlery."
HPC08,HPC08-HM07,Health & OTC Medicines,"Over-the-counter health products and herbal remedies including pain relief, cold and flu treatments, medicated balms, herbal supplement tablets, ayurvedic products, and health supplements."
BPN09,BPN09-BB01,Bread & Bakery Items,"Baked bread and pastry products including white bread, brown bread, roti, parotta, naan, pitta, wraps, croissants, and other packaged bakery items sold at ambient temperature."
BPN09,BPN09-NM02,Noodles & Instant Meals,"Instant noodles, ramen, rice noodles, glass noodles, egg noodles, and other quick-cook noodle products. Includes instant meal kits and flavoured noodle pack products."
BPN09,BPN09-PM03,Pasta & Macaroni,"Dried pasta shapes including spaghetti, penne, fusilli, macaroni, tagliatelle, couscous, and other Italian and international pasta varieties used in cooking."
BPN09,BPN09-BO04,Breakfast Cereals & Oats,"Breakfast grain products including rolled oats, porridge oats, cornflakes, muesli, granola, and other ready-to-eat or quick-cook morning cereal products."
BPN09,BPN09-CT05,Canned & Tinned Foods,"Preserved foods in tins and cans including canned vegetables, tinned fruits, baked beans, canned fish, canned pulses, tinned tomatoes, jackfruit, sarson ka saag, and other canned products."
